"...1","POS. 22","POS. '21","RAGIONE SOCIALE","SEDE","PROV","FATTURATO ‘20","FATTURATO ’19","UTILE ‘20","UTILE ’19","ROS ‘20","ROS ‘19","ROE ‘20","ROE ‘19","lat","long"
323,320,"357","S.I.A. SISTEMA ITALIA SRL","Oleggio, Italia","NO","21.755.334","20.236.583","840.330","594.588","3,86","2,94","20,36","21,42",45.5972309,8.6370679
324,321,"382","ARCHIMEDE GRUDEN SRL","Venezia, Italia","VE","21.707.195","18.248.635","610.903","410.893","2,81","2,25","22,39","23,82",45.4371908,12.3345898
325,322,"367","FIORINI OMNIA SERVICE SRL","Venezia, Italia","VE","21.637.713","19.216.858","836.875","866.959","3,87","4,51","67,84","14,91",45.4371908,12.3345898
326,323,"299","R.A.T. RAGGR. AUTOTR. TOSCANI","Calenzano, Italia","FI","21.525.451","25.100.953","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",43.8652493,11.1673685
327,324,"361","MERCIMPEX SRL","Pioltello, Italia","MI","21.511.937","19.668.798","308.207","435.788","1,43","2,22","9,19","14,45",45.5010216,9.3263354
328,325,"329","BUZZATTI TRASPORTI SRL","Sedico, Italia","BL","21.262.480","22.548.540","1.444.758","1.040.977","6,79","4,62","12,33","11,93",46.11098,12.0971545
329,326,"N.D.","FERRARI ALDO TRASPORTI SRL","Lodi, Italia","LO","21.262.107","23.325.972","25.213","224.708","0,12","0,96","N.D.","N.D.",45.2613104,9.49167806002184
330,327,"341","MAGNISI MICHELE SRL","Bari, Italia","BA","21.195.839","21.475.917","819.227","794.150","3,87","3,70","15,49","15,22",41.1257843,16.8620293
331,328,"340","AUTOFRIGO RIETI  - AF SRL","Fiano Romano, Italia","RM","21.151.645","21.491.821","24.516","12.189","0,12","0,06","0,87","0,46",42.1719129,12.5927265
332,329,"308","TIRRENA SRL","Carrara Avenza, Italia","MS","21.111.622","24.591.711","234.933","549.950","1,11","2,24","N.D.","N.D.",44.0513078,10.0628954
333,330,"333","CAPPIO SRL","San Giorgio Canavese, Italia","TO","21.058.458","21.880.454","1.133.082","405.771","5,38","1,85","23,59","9,96",45.334155,7.796819
334,331,"274","CALONI SPA","Seregno, Italia","MB","20.797.253","27.138.334","-465.611","-178.108","-2,24","-0,66","-27,38","-31,73",45.649723,9.2053999
335,332,"378","LOGISTICA 93 SRL","Villanterio, Italia","PV","20.752.826","18.626.459","111.195","195.797","0,54","1,05","29,94","31,40",45.219467,9.364356
336,333,"306","ATTILIO CARMAGNANI AC SPA","Genova, Italia","GE","20.676.574","24.755.402","105.428","684.142","0,51","2,76","1,34","13,22",44.40726,8.9338624
337,334,"305","PINNA TRASP.  LOGISTICA SRL","Monastir, Italia","CA","20.666.455","24.756.740","195.178","30.383","0,94","0,12","5,11","0,84",39.38474,9.044841
338,335,"349","MESSAGGERIE DEL GARDA","Castiglione Delle Stiviere, Italia","MN","20.585.779","20.770.500","437.396","313.885","2,12","1,51","11,48","10,52",45.3896766,10.4888745
339,336,"345","EUROCOT SPA","S. Benedetto del Tronto, Italia","AP","20.555.787","21.259.234","-123.098","-298.738","-0,60","-1,41","-1,34","-5,25",42.9525328,13.8807144
340,337,"457","KINTETSU WORLD EXPRESS ITALIA","Segrate, Italia","MI","20.549.688","14.647.958","318.003","-55.925","1,55","-0,38","23,54","-5,41",45.4907352,9.2948204
341,338,"323","CORNALI AUTOTRASPORTI SRL","Orio Al Serio, Italia","BG","20.455.943","23.266.083","978.912","-3.753.461","4,79","-16,13","15,32","-69,38",45.6762274,9.6929555
342,339,"328","BOSSI & C. TRANSITI SPA","Genova, Italia","GE","20.312.360","22.631.892","427.373","414.201","2,10","1,83","11,98","5,42",44.40726,8.9338624
343,340,"342","ANTOLINI TRASPORTI A.T.S.  SRL","San Pietro In Cariano, Italia","VR","20.232.079","21.393.848","861.843","634.170","4,26","2,96","14,25","12,23",45.5209134,10.8863774
345,341,"383","CO.MI. LOGISTICA SRL","Pagani, Italia","SA","20.161.594","18.159.077","200.175","313.226","0,99","1,72","4,49","7,36",40.7498877,14.6133234
346,342,"332","BASE SPEDIZIONI SPA","Livorno, Italia","LI","20.129.835","21.882.028","503.408","173.259","2,50","0,79","6,41","2,63",42.7902166,10.340278678735
347,343,"338","MAERSK ITALIA SPA","Genova, Italia","GE","20.124.931","21.571.184","195.435","24.882","0,97","0,12","2,11","0,27",44.40726,8.9338624
348,344,"344","TARDINI SRL","Corridonia, Italia","MC","19.796.902","21.341.639","671.463","328.122","3,39","1,54","24,85","19,95",43.2484575,13.509212
349,345,"313","LOTRAS SRL","Foggia, Italia","FG","19.625.156","24.281.158","1.455.397","1.523.754","7,42","6,28","7,52","8,28",41.50281055,15.4528996096277
350,346,"290","NIZZI SRL","Terni, Italia","TR","19.621.700","25.805.432","542.506","851.228","2,76","3,30","8,21","14,71",42.6539486,12.4396528291394
351,347,"404","SANI TRASPORTI SRL","Calestano, Italia","PR","19.591.277","16.738.902","-324.669","75.268","-1,66","0,45","-14,82","2,00",44.6007,10.1229945
352,348,"347","CONSORZIO COIMBA TRASPORTI","Bari, Italia","BA","19.533.411","21.025.786","3.652","1.046","0,02","0,00","0,68","0,20",41.1257843,16.8620293
353,349,"456","C.P.S. PADANA SERVIZI","Peschiera Borromeo, Italia","MI","19.458.550","14.673.555","19.507","67.570","0,10","0,46","N.D.","N.D.",45.4425059,9.3045703113961
354,350,"339","O.T.E. SPEDIZ. INTERNAZ. SRL","Novate Milanese, Italia","MI","19.383.857","21.503.435","364.851","9.305","1,88","0,04","45,45","2,13",45.5319497,9.1401207
355,351,"324","FRITTELLI MARITIME GROUP SPA","Ancona, Italia","AN","19.278.817","23.238.420","1.517.823","1.875.324","7,87","8,07","14,23","11,70",43.4801204,13.2187906091518
356,352,"358","NEW CHARTER SRL","Milano, Italia","MI","19.262.655","19.964.349","244.660","291.093","1,27","1,46","23,41","36,37",45.4641943,9.1896346
357,353,"483","EXPRESS SRL","Napoli, Italia",NA,"19.252.830","13.699.248","1.869.158","891.727","9,71","6,51","26,69","17,37",40.8358846,14.2487679
358,354,"363","AUTOTRASPORTI CAPOZI SRL","Milano, Italia","MI","19.224.096","19.503.109","1.767.073","456.105","9,19","2,34","56,31","29,78",45.4641943,9.1896346
359,355,"335","RATTENNI  SRL","Pescara, Italia","PE","19.222.544","21.807.320","313.808","387.731","1,63","1,78","13,34","19,03",42.3102619,13.9575901058489
360,356,"371","MATECO SRL","Rodano, Italia","MI","19.174.224","18.941.997","748.395","453.047","3,90","2,39","8,92","7,48",45.4751079,9.3549881
361,357,"387","SCORTRANS SRL","Altavilla Vicentina, Italia","VI","18.935.946","17.454.952","681.379","434.807","3,60","2,49","25,24","28,68",45.5084288,11.4706863
362,358,"292","CONSORZIO TARGET SINERGIE","Rimini, Italia","RN","18.929.216","25.439.753","34.669","18.182","0,18","0,07","10,52","6,17",43.9470982,12.630768610516
363,359,"395","ALITRANS SRL","Villafranca, Italia","VR","18.662.808","17.072.959","928.801","682.548","4,98","4,00","19,08","17,33",44.2957339,12.0181633
364,360,"464","SOFAS & SOFAS LOGISTIC SRL","Forli', Italia","FC","18.517.461","14.505.360","918.262","305.863","4,96","2,11","20,43","8,55",44.2227278,12.041273
365,361,"354","MARENZANA SPA","Novi Ligure, Italia","AL","18.374.099","20.317.625","1.533.285","2.257.465","8,34","11,11","8,88","14,34",44.76085,8.789551
366,362,"356","RAIL CARGO LOGISTICS SRL","Desio, Italia","MB","18.363.559","20.256.093","-1.179.190","272.123","-6,42","1,34","-20,96","4,00",45.6183103,9.2081245
367,363,"415","FRIGOCASERTA SRL","Gricignano Di Aversa, Italia","CE","18.318.183","16.281.068","285.756","772.264","1,56","4,74","0,60","2,85",40.9800924,14.2337107
368,364,"377","RIVA LOGISTIC & SERVICE SRL","Arosio, Italia","CO","18.314.728","18.668.988","120.166","63.033","0,66","0,34","1,98","1,04",45.716977,9.208043
369,365,"364","TRANSTIR SRL","Carpi, Italia","MO","18.307.100","19.395.745","544.687","431.082","2,98","2,22","24,85","23,77",44.7835699,10.8854523
370,366,"322","SINTRA SPA","Bentivoglio, Italia","BO","18.183.804","23.563.589","249.033","266.019","1,37","1,13","21,56","29,35",44.6357918,11.4171933
371,367,"513","P.M.G. SRL TRASP. LOGISTICA","Volpago D/Montello, Italia","TV","18.093.217","12.826.107","844.394","73.595","4,67","0,57","45,81","22,16",45.8137075,12.0889847
372,368,"350","C.A.T. ITALIA SRL","Roma, Italia","RM","18.069.640","20.730.989","157.872","810.169","0,87","3,91","21,98","59,11",41.8933203,12.4829321
373,369,"226","PRIANO MARCHELLI & C. SRL","Genova, Italia","GE","18.035.117","31.823.656","-621.427","658.217","-3,45","2,07","-25,23","21,34",44.40726,8.9338624
374,370,"366","S.I.L.T. SRL","Genova Voltri, Italia","GE","18.021.168","19.225.847","303.428","24.884","1,68","0,13","14,70","1,41",44.4284525,8.7583256
375,371,"370","AUTOTRASPORTI BARONE SPA","Padova, Italia","PD","17.968.401","18.969.622","1.662.735","1.627.485","9,25","8,58","18,44","22,83",45.4077172,11.8734455
376,372,"362","CIGISPED SRL","Genova, Italia","GE","17.893.791","19.505.963","15.580","31.558","0,09","0,16","2,54","5,27",44.40726,8.9338624
377,373,"379","N.C. LOGISTICA SRL","Acireale, Italia","CT","17.887.968","18.359.756","1.104.714","814.502","6,18","4,44","33,40","36,97",37.6127773,15.1658804
378,374,"410","AUTOTRASPORTI CRISTINELLI SRL","Bolgare, Italia","BG","17.750.012","16.535.747","1.552.344","1.063.848","8,75","6,43","13,70","13,37",45.635081,9.812858
379,375,"360","SETRANS SRL","Brescia, Italia","BS","17.718.253","19.670.613","1.145.448","1.656.941","6,46","8,42","7,95","14,99",45.77958045,10.4258729694612
380,376,"376","PEVERE TRASPORTI  SRL","Udine, Italia","UD","17.702.203","18.784.856","430.739","230.313","2,43","1,23","25,02","14,48",46.0634632,13.2358377
381,377,"373","ACTIS GUIDO SRL","Volpiano, Italia","TO","17.678.389","18.817.720","75.192","112.374","0,43","0,60","1,59","2,89",45.201451,7.778222
382,378,"365","CENTRO DISTR. REG. C.D.R. SRL","Carini, Italia","PA","17.646.277","19.235.967","239.981","195.666","1,36","1,02","17,94","10,31",38.131172,13.1818847
383,379,"374","CARGO NORD SRL","Bregnano, Italia","CO","17.538.178","18.792.223","235.059","213.231","1,34","1,13","34,40","35,66",45.6971263,9.0595206
384,380,"293","A.L.H.A. AIRLINES HANDLING","Prato, Italia","PO","17.424.478","25.373.008","-1.498.136","-112.156","-8,60","-0,44","-120,31","-4,04",43.93571805,11.0941472677009
385,381,"430","DECAL DEP. COSTIERI CALLIOPE","Soresina, Italia","CR","17.360.979","15.799.140","20.131.022","7.859.309","115,96","49,75","11,18","4,77",45.286473,9.856965
386,382,"465","CASSIBBA TRASPORTI LOGISTICA","Vittoria, Italia","RG","17.205.072","14.500.101","1.321.224","871.733","7,68","6,01","15,73","17,30",36.9514957,14.5304867
387,383,"517","S.I. EXPRESS SERV. INTEGRATI SRL","Nichelino, Italia","TO","17.073.099","12.706.956","825.695","378.835","4,84","2,98","51,64","49,00",44.9955182,7.6466179
388,384,"375","TERMINAL INTERMODALE VENEZIA","Venezia, Italia","VE","17.072.778","18.788.431","1.291.978","1.241.077","7,57","6,61","11,12","12,02",45.4371908,12.3345898
389,385,"388","PRIME SRL","Granarolo nell'Emilia, Italia","BO","17.017.466","17.448.276","288.279","314.966","1,69","1,81","35,64","44,96",44.5443234,10.595788
390,386,"451","MONGE LOGISTICA SRL","Savigliano, Italia","CN","16.908.387","14.893.008","1.344.552","1.227.292","7,95","8,24","17,23","19,01",44.644037,7.655929
391,387,"403","LUGO TERMINAL SPA","Lugo, Italia","RA","16.883.074","16.749.124","95.594","-580.594","0,57","-3,47","0,32","-1,98",44.4188782,11.9082311
392,388,"488","ITALTRANSPORT CASA DI SPEDIZ.","Cassano Magnago, Italia","VA","16.874.996","13.569.485","92.851","27.069","0,55","0,20","13,65","4,61",45.6752214,8.8255843
393,389,"443","BSB BUILDING SERVICES BRIANZA","Vimercate, Italia","MB","16.862.907","15.317.276","-214.667","32.087","-1,27","0,21","N.D.","N.D.",45.6139627,9.37006
394,390,"439","CFMO COOP. FACCH. MERC. ORT.","Brescia, Italia","BS","16.810.104","15.437.903","193.342","32.513","1,15","0,21","19,22","4,02",45.77958045,10.4258729694612
395,391,"397","VILLATRANS SRL","Villafontana, Italia","VR","16.802.651","16.859.500","90.492","54.839","0,54","0,33","11,04","7,52",45.2955858,11.0791151
396,392,"336","TRA.DE TRASP. E DEPOSITI SRL","Campi Bisenzio, Italia","FI","16.482.376","21.664.453","398.039","895.099","2,41","4,13","10,94","47,24",43.8216342,11.1366776
397,393,"385","MOLE S.C.P.A.","Orbassano, Italia","TO","16.392.466","18.069.752","13.947","-1.455.454","0,09","-8,05","1,11","-137,81",45.0072629,7.5369192
398,394,"390","FRADELLONI RAFFAELE SPA","Cagliari, Italia","CA","16.299.826","17.295.130","753.658","617.084","4,62","3,57","12,54","15,61",39.2171994,9.113311
399,395,"N.D.","BIZZARRO SPA","Marcianise, Italia","CE","16.130.645","12.308.966","-1.822.000","N.D.","-11,30","N.D.","N.D.","N.D.",41.0329966,14.2984228
400,396,"475","F.J. TYTHERLEIGH ITALIA SRL","Livorno, Italia","LI","16.105.660","14.010.576","462.322","80.483","2,87","0,57","23,87","5,39",42.7902166,10.340278678735
401,397,"394","T.D.L. EUROPA SRL","Orbassano, Italia","TO","16.100.854","17.117.136","340.679","86.749","2,12","0,51","14,17","2,93",45.0072629,7.5369192
402,398,"423","FRESCHI & SCHIAVONI SRL","Vignate, Italia","MI","16.062.768","16.140.953","107.857","-483.655","0,67","-3,00","9,59","-47,58",45.496573,9.376651
403,399,"416","SERVICE 2000 SRL","Villorba, Italia","TV","16.049.956","16.269.954","452.896","-211.664","2,82","-1,30","40,33","-146,25",45.7292486,12.2562455
404,400,"468","ESSERS ITALIA SRL","Siziano, Italia","PV","15.967.054","14.402.812","623.299","358.826","3,90","2,49","37,71","34,85",45.3174678,9.2011222
405,401,"393","SEAWAY SRL","Milano, Italia","MI","15.949.279","17.186.207","31.061","97.351","0,19","0,57","1,58","4,97",45.4641943,9.1896346
406,402,"448","RE SERGIO SRL","Voghera, Italia","PV","15.917.702","15.057.725","1.432.000","1.329.586","9,00","8,83","N.D.","N.D.",44.9926704,9.0086667
407,403,"435","FRIGOR TRASP. OROBICO SRL","San Paolo d'Argon, Italia","BG","15.877.930","15.544.018","561.510","70.115","3,54","0,45","12,77","1,68",45.6885572,9.8040661
408,404,"436","MG LOGISTICA SRL","Ficarazzi, Italia","PA","15.873.613","15.513.904","-2.611.924","210.069","-16,45","1,35","-718,66","17,95",38.0884578,13.4637863
409,405,"389","IORIO TRASP.  E LOGISTICA SPA","Maddaloni, Italia","CE","15.827.539","17.331.574","363.263","-214.816","2,30","-1,24","26,28","-21,08",41.0398815,14.3792066
410,406,"355","PORTO INT. RAVENNA SAPIR","Ravenna, Italia","RA","15.814.319","20.266.478","2.807.522","3.570.682","17,75","17,62","2,72","3,46",44.3640607,12.0590094908639
411,407,"431","T.C.E. TRASP. COMM. ESPR. SRL","Casale Sul Sile, Italia","TV","15.788.306","15.751.631","315.890","1.233","2,00","0,01","23,23","0,12",45.5977665,12.3257335
412,408,"504","TRANSPED SPA","Venezia, Italia","VE","15.775.028","13.066.976","1.879.240","462.262","11,91","3,54","33,43","17,12",45.4371908,12.3345898
414,409,"427","NORD EST LOGISTICA SRL","Gorizia, Italia","GO","15.767.184","15.860.666","12.661","15.216","0,08","0,10","1,15","1,40",45.9441278,13.6252288
415,410,"400","ROBUSTELLI TRASPORTI SRL","Tirano, Italia","SO","15.682.367","16.826.308","286.715","474.928","1,83","2,82","1,71","8,15",46.2156719,10.1731777
416,411,"480","WORLD COURIER ITALIA SRL","Milano, Italia","MI","15.618.940","13.887.666","190.326","271.819","1,22","1,96","7,29","11,22",45.4641943,9.1896346
417,412,"419","BERTSCHI ITALIA SRL","Busto Arsizio, Italia","VA","15.597.404","16.239.523","1.301.945","836.622","8,35","5,15","21,89","18,01",45.6119057,8.8520522
418,413,"437","SAAR DEPOSITI PORTUALI SPA","Genova, Italia","GE","15.585.951","15.483.072","1.597.629","767.351","10,25","4,96","12,17","9,04",44.40726,8.9338624
419,414,"424","SAVING SHIPPING E FORW.","Fino Mornasco, Italia","CO","15.531.338","15.982.791","203.558","300.241","1,31","1,88","4,75","7,35",45.742876,9.047639
420,415,"587","RANDAZZO SRL","Carini, Italia","PA","15.494.984","10.077.275","522.823","118.057","3,37","1,17","32,40","10,82",38.131172,13.1818847
421,416,"481","NEOLOGISTICA SRL","Garbagnate Milanese, Italia","MI","15.454.463","13.835.699","10.330","36.168","0,07","0,26","0,07","0,41",45.5727984,9.0734372
422,417,"446","BENNATO ULISSE & FIGLI SRL","Padova, Italia","PD","15.452.011","15.172.566","18.710","48.625","0,12","0,32","0,93","2,44",45.4077172,11.8734455
423,418,"381","RETE LOGISTICA AGROIND.LE SRL","Cesena, Italia","FC","15.443.822","18.299.443","348.275","-294.858","2,26","-1,61","27,52","-32,15",44.136352,12.2422442
424,419,"414","SCHNELLECKE ITALIA SRL","Sant'Agata Bolognese, Italia","BO","15.389.409","16.353.436","1.125.852","526.591","7,32","3,22","32,55","22,57",44.664169,11.134004
425,420,"444","EUROLOGISTICA SPA","Prato, Italia","PO","15.374.204","15.246.575","121.474","53.752","0,79","0,35","3,16","1,44",43.93571805,11.0941472677009
426,421,"429","GIRELLI LOGISTICS GROUP SRL","Sona, Italia","VR","15.304.113","15.844.555","73.091","204.598","0,48","1,29","2,87","7,80",45.433438,10.8327372
427,422,"384","CORRIERE CECCHI SRL","Sesto Fiorentino, Italia","FI","15.295.759","18.147.074","-870.215","25.387","-5,69","0,14","-86,67","2,34",43.831721,11.1992239
428,423,"409","URBAN LOGISTICA SRL","Lainate, Italia","MI","15.262.947","16.543.481","630.835","757.214","4,13","4,58","26,86","23,17",45.5717302,9.028461
429,424,"461","SELVATRANSPORT SRL","Belfiore, Italia","VR","15.238.081","14.583.968","228.649","291.905","1,50","2,00","16,61","29,37",45.3796233,11.2089761
430,425,"401","SINTERMAR SPA","Livorno, Italia","LI","15.131.934","16.823.377","-235.363","146.408","-1,56","0,87","-1,48","2,37",42.7902166,10.340278678735
431,426,"426","EURO ITAL. FREIGHT SYSTEMS","San Giuliano Milanese, Italia","MI","15.051.823","15.881.855","-23.437","133.598","-0,16","0,84","-2,78","15,40",45.39427,9.291851
432,427,"459","TRIMAR SRL","Trieste, Italia","TS","15.029.936","14.639.451","246.632","503.304","1,64","3,44","8,90","19,93",45.6496485,13.7772781
433,428,"433","ACCESS WORLD (ITALY) SRL","Trieste, Italia","TS","15.005.866","15.649.705","540.173","-243.216","3,60","-1,55","63,79","-79,32",45.6496485,13.7772781
434,429,"N.D.","CANGURO SPA","Parma, Italia","PR","14.952.311","13.488.406","779.983","404.000","5,22","3,00","N.D.","N.D.",44.8013678,10.3280833
435,430,"425","TRANSTAR 92 SRL","Pomezia, Italia","RM","14.777.853","15.974.567","511.836","65.992","3,46","0,41","20,42","3,31",41.667529,12.5047863
436,431,"441","ECU WORLDWIDE ITALY SRL","Peschiera Borromeo, Italia","MI","14.772.782","15.423.705","-394.712","110.544","-2,67","0,72","N.D.","30,73",45.4425059,9.3045703113961
437,432,"442","CASA DI SPEDIZIONI GAZZOTTI","Sassuolo, Italia","MO","14.747.323","15.324.321","147.028","179.425","1,00","1,17","1,37","1,74",44.5409769,10.7829023
438,433,"392","TFM MARTONE LOGISTICA","Fondi, Italia","LT","14.727.705","17.213.521","134.968","42.656","0,92","0,25","5,69","4,49",41.3572854,13.430031
439,434,"406","PASQUINELLI ENNIO SPA","Jesi, Italia","AN","14.720.839","16.721.048","-1.338.908","261.392","-9,10","1,56","-107,78","12,57",43.5219801,13.2443764
440,435,"479","SPIZ TRASPORTI SRL","Cusago, Italia","MI","14.695.899","13.895.968","373.119","372.181","2,54","2,68","39,78","40,02",45.4498179,9.0363223
441,436,"407","FESTA TRASP. LOGISTICA SRL","Montichiari, Italia","BS","14.649.995","16.694.017","56.635","-428.851","0,39","-2,57","4,86","-38,67",45.415181,10.390675
442,437,"478","VALORI FRANCO & C. SRL","Cascina, Italia","PI","14.640.495","13.937.058","1.411.445","916.746","9,64","6,58","17,83","14,09",43.6766738,10.5492244
443,438,"434","CARCANO TRASP. LOGISTICA","Varese, Italia","VA","14.618.329","15.616.707","117.701","66.416","0,81","0,43","8,33","5,09",45.8397203,8.75413383805657
444,439,"402","SAGEM SRL","Venezia Mestre, Italia","VE","14.603.635","16.809.657","9.669","37.008","0,07","0,22","1,02","3,92",45.482462,12.2317016
445,440,"372","DUE TORRI SPA","Minerbio, Italia","BO","14.523.180","18.899.518","130.692","264.045","0,90","1,40","3,41","7,13",44.6241987,11.4906968
446,441,"N.D.","CENTRO SMISTAMENTO MERCI","Citta' Di Castello, Italia","PGG","14.511.116","14.911.264","527.180","308.500","3,63","2,07","N.D.","N.D.",43.4574214,12.2403118
447,442,"458","NT SERVICE SOC. COOP.","Piacenza, Italia","PC","14.464.051","14.647.583","98.844","60.828","0,68","0,42","16,44","12,32",44.8476352,9.6665312576969
448,443,"454","EUROFRIGO VERNATE SRL","Vernate, Italia","MI","14.443.160","14.690.707","-1.113.946","-1.334.860","-7,71","-9,09","-45,96","-37,73",45.3161472,9.0609682
449,444,"588","ADRIATICA FREDDO LOGISTICA","Modugno, Italia","BA","14.403.421","10.037.064","24.373","3.958","0,17","0,04","2,86","1,33",41.0825639,16.7805515
450,445,"421","AMORUSO GIUSEPPE SPA","Salerno, Italia","SA","14.372.259","16.181.533","40.279","18.292","0,28","0,11","4,25","2,02",40.41944165,15.3107562303225
451,446,"353","SILT SERV. INT. LOG. TRASP.","Corciano, Italia","PG","14.365.371","20.323.893","-232.585","6.048","-1,62","0,03","-34,26","0,66",43.1290269,12.287718
452,447,"428","GETRAS SRL (GRP PAOLETTI)","Fiumicino, Italia","RM","14.353.778","15.858.094","12.328","339.425","0,09","2,14","0,54","16,97",41.7712145,12.2278855
453,448,"418","COGEFRIN SPA","Castel Maggiore, Italia","BO","14.320.843","16.241.223","156.049","183.606","1,09","1,13","0,46","1,24",44.575685,11.3648104
454,449,"450","SEBI SRL","Vizzola Ticino, Italia","VA","14.319.451","14.968.647","63.874","592.902","0,45","3,96","1,26","11,17",45.62555075,8.68549599120842
455,450,"420","DARIO PERIOLI SPA","La Spezia, Italia","SP","14.308.471","16.234.851","1.234.867","879.291","8,63","5,42","18,88","17,92",44.23836595,9.69123263454754
456,451,"460","FRIGOSCANDIA SPA","Cornaredo, Italia","MI","14.226.799","14.590.110","-1.135.352","-277.416","-7,98","-1,90","-7,67","-5,20",45.5016851,9.025746
457,452,"500","MASTERMAR SPEDIZIONI SRL","Genova, Italia","GE","14.217.578","13.121.049","208.452","30.018","1,47","0,23","23,91","4,53",44.40726,8.9338624
458,453,"455","ZAMBONI TRAN SERVICE SRL","Vigasio, Italia","VR","14.027.691","14.689.946","1.068","-6.521","0,01","-0,04","N.D.","N.D.",45.3170303,10.9421984
459,454,"463","PLANZER TRASPORTI SRL","Montano Lucino, Italia","CO","14.016.533","14.522.880","835.893","842.357","5,96","5,80","7,27","7,91",45.79033145,9.02752063876818
460,455,"471","AGRILOGISTICA","Ferrara, Italia","FE","13.962.164","14.195.931","-64.149","360.065","-0,46","2,54","-1,44","11,92",44.76676425,11.8279389956402
461,456,"453","BIERRETI SRL","Porto Viro, Italia","RO","13.924.935","14.725.687","34.917","67.798","0,25","0,46","1,17","2,24",45.0253113,12.2252372
462,457,"538","RAFFAELE INIZIO SRL","Casoria, Italia",NA,"13.810.140","11.927.937","-150.228","73.750","-1,09","0,62","-31,81","11,85",40.9045572,14.2901223
463,458,"469","SCHMIDT ITALIA SRL","Milano, Italia","MI","13.767.078","14.277.420","391.619","536.358","2,84","3,76","8,47","11,58",45.4641943,9.1896346
464,459,"565","CAMPIONI LOGISTICA SRL","Patrica, Italia","FR","13.731.352","10.855.547","282.268","184.583","2,06","1,70","7,52","5,31",41.592217,13.243998
465,460,"405","RODELLA TRASPORTI SRL","Medole, Italia","MN","13.723.749","16.734.691","34.356","55.357","0,25","0,33","0,82","1,34",45.3242539,10.5144051
466,461,"473","CDS TRASP. E LOGISTICA SRL","Salerno, Italia","SA","13.621.430","14.139.212","721.960","657.170","5,30","4,65","15,20","16,31",40.41944165,15.3107562303225
467,462,"502","COSER GROUP SCARL","Nettuno, Italia","RM","13.510.972","13.112.428","1.265.486","1.103.475","9,37","8,42","51,21","67,50",41.4575382,12.661425
468,463,"486","STOCK HOUSE ITALIA SRL","Agnadello, Italia","CR","13.495.732","13.614.129","32.285","65.771","0,24","0,48","0,93","3,01",45.444374,9.557056
469,464,"476","NEW S.P.E.D. SRL","Gallarate, Italia","VA","13.407.241","14.001.330","75.577","147.351","0,56","1,05","5,08","10,43",45.6598951,8.7932013
470,465,"396","PNP SPA","Bentivoglio, Italia","BO","13.312.142","17.072.654","-217.903","-551.228","-1,64","-3,23","-15,95","N.D.",44.6357918,11.4171933
471,466,"493","L. TRANSPORT SRL","Pescara, Italia","PE","13.311.823","13.383.237","243.398","225.059","1,83","1,68","8,25","8,31",42.3102619,13.9575901058489
472,467,"477","L.T.G. LOGISTICA TR. GIUGLIANO","S. Gennaro Vesuviano, Italia",NA,"13.310.989","13.938.265","360.492","221.745","2,71","1,59","13,42","9,53",40.8604005,14.5291676
473,468,"422","RICOLFI & C. SPA","Napoli, Italia",NA,"13.258.461","16.152.032","200.970","355.092","1,52","2,20","8,99","17,46",40.8358846,14.2487679
474,469,"498","DELTA NOVEL TRADE SRL","Ravenna, Italia","RA","13.238.468","13.172.396","520.630","85.396","3,93","0,65","313,94","-11,91",44.3640607,12.0590094908639
475,470,"487","TECNOTRANS SRL","Arluno, Italia","MI","13.218.200","13.592.052","62.355","23.165","0,47","0,17","N.D.","N.D.",45.50507,8.941541
476,471,"511","EURODOCKS SRL","Ravenna, Italia","RA","13.176.114","12.857.940","536.722","-2.230.355","4,07","-17,35","15,21","-246,35",44.3640607,12.0590094908639
477,472,"551","BECOSPED SRL","Prato, Italia","PO","13.174.379","11.461.325","136.005","216.532","1,03","1,89","9,47","17,00",43.93571805,11.0941472677009
478,473,"568","MOVITRENTO SOC. COOP.","Rovereto, Italia","TN","13.173.630","10.734.625","297.162","213.387","2,26","1,99","12,82","10,59",45.886548,11.0452369
479,474,"398","CONCORDIA SRL","Savona, Italia","SV","13.156.811","16.839.262","-317.448","-5.808","-2,41","-0,03","-40,83","-0,53",44.2334238,8.25257273702106
480,475,"490","NEW EAST COMPANY SRL","Empoli, Italia","FI","13.080.321","13.540.896","21.971","42.130","0,17","0,31","3,24","8,50",43.7194884,10.9458556
481,476,"412","MEDITERRANEA TRASPORTI SRL","Venezia, Italia","VE","13.000.898","16.409.655","1.295.815","42.057","9,97","0,26","17,67","1,07",45.4371908,12.3345898
483,477,"470","AUTOTRASPORTI CORTI SRL","Sirone, Italia","LC","12.985.663","14.274.081","123.309","22.072","0,95","0,15","11,85","2,41",45.77268,9.322144
484,478,"552","EZIO CHIAPPE SRL","Livorno, Italia","LI","12.951.698","11.355.805","443.079","241.345","3,42","2,13","53,26","62,07",42.7902166,10.340278678735
485,479,"492","GLOBAL SHIPPING SPA","Villorba, Italia","TV","12.942.799","13.406.359","256.466","178.223","1,98","1,33","9,96","7,69",45.7292486,12.2562455
486,480,"432","AUTOTRASPORTI BOMMARTINI","Soave, Italia","VR","12.933.896","15.672.325","-231.330","-1.283.282","-1,79","-8,19","-29,20","-125,40",45.4202303,11.247722
